% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 4 2020, 22:43"
% Table,Table 2 - Global Evaluation 1
% v_f,E_m (GPa),G_m (GPa),E1_f (GPa),G12_f (GPa),loadcase,group.cp11,group.cp22,group.cp33,group.cp12,group.cp23,group.cp13,Resin Young's modulus (Pa),Resin shear modulus (Pa),"Fiber Young's modulus, 11 direction (Pa)","Fiber shear modulus, 12 direction (Pa)","Elasticity matrix, 11 component (N/m^2)","Elasticity matrix, 22 component (N/m^2)","Elasticity matrix, 44 component (N/m^2)"
0.48,7.6000000000000005,4.17,139,18,1,1,0,0,0,0,0,7.6E9,4.17E9,1.39E11,1.8E10,7.067120687617058E10,1.856350421637661E10,7.292388284630597E9
0.17,8.91,1.27,140,46,1,1,0,0,0,0,0,8.91E9,1270000000,1.4E11,4.6E10,3.119393340807216E10,1.1669590257057583E10,5.905772591405523E9
0.36,9.040000000000001,4.58,142,25,1,1,0,0,0,0,0,9.04E9,4.58E9,1.42E11,2.5E10,5.690499811209805E10,1.6765626526146229E10,7.53960506552592E9
0.59,6.25,3.1100000000000003,51,30.000000000000004,1,1,0,0,0,0,0,6.25E9,3.11E9,5.1E10,3.0E10,3.265231916865016E10,1.695100512847384E10,9.152172164044333E9
0.26,9.8,2.6100000000000003,88,26,1,1,0,0,0,0,0,9.8E9,2.61E9,8.8E10,2.6E10,3.013147995887042E10,1.4470138915387022E10,7.017454442524057E9
0.15,5.94,2.46,74,18,1,1,0,0,0,0,0,5.94E9,2.46E9,7.4E10,1.8E10,1.6148373956689034E10,7.470045716117012E9,3.6858483360479054E9
0.07,6.420000000000001,3.6500000000000004,51,17,1,1,0,0,0,0,0,6.42E9,3.65E9,5.1E10,1.7E10,9.539995277499989E9,7.065072678317175E9,3.532205011846292E9
0.34,8.780000000000001,1.82,127.00000000000001,33,1,1,0,0,0,0,0,8.78E9,1820000000,1.27E11,3.3E10,4.897377189030479E10,1.5553510845591864E10,7.48774182408257E9
0.22,7.470000000000001,1.31,149,23,1,1,0,0,0,0,0,7.47E9,1310000000,1.49E11,2.3E10,3.86046904729575E10,1.076237354058752E10,5.143084909695446E9
0.29,9.81,2.43,103,33,1,1,0,0,0,0,0,9.81E9,2.43E9,1.03E11,3.3E10,3.6834408762813095E10,1.5440686873924807E10,7.595222214203835E9
0.74,9.66,3.35,80,23,1,1,0,0,0,0,0,9.66E9,3.35E9,8.0E10,2.3E10,6.171147463223189E10,3.9279824227651665E10,1.4669798979628946E10
0.22,7.170000000000001,1.84,131,43,1,1,0,0,0,0,0,7.17E9,1840000000,1.31E11,4.3E10,3.441092937661457E10,1.0297546527507381E10,5.226119323952499E9
0.11,8.48,3,76,24,1,1,0,0,0,0,0,8.48E9,3.0E9,7.6E10,2.4E10,1.5905791890026535E10,9.916203607657185E9,4.947380825406988E9
0.52,8.690000000000001,4.930000000000001,113,30.000000000000004,1,1,0,0,0,0,0,8.69E9,4.93E9,1.13E11,3.0E10,6.2930828495225914E10,2.227405714115837E10,9.980448004887146E9
0.48,5.19,4.16,61.00000000000001,17,1,1,0,0,0,0,0,5.19E9,4.16E9,6.1E10,1.7E10,3.1978463144720905E10,1.1949255259088938E10,5.464178760780601E9
0.24,7.98,4.27,84,23,1,1,0,0,0,0,0,7.98E9,4.2699999999999995E9,8.4E10,2.3E10,2.6224333343533104E10,1.1536535234540548E10,5.6146103194035015E9
0.38,9.05,4.9,99,24,1,1,0,0,0,0,0,9.05E9,4.9E9,9.9E10,2.4E10,4.323057019468252E10,1.6845032278969513E10,7.708534433754741E9
0.13,9.92,2.64,67,28,1,1,0,0,0,0,0,9.92E9,2.64E9,6.7E10,2.8E10,1.7338993200273155E10,1.1804027988562954E10,5.951811965131334E9
0.1,8.18,3.3000000000000003,100,7,1,1,0,0,0,0,0,8.18E9,3.3E9,1.0E11,7.0E9,1.736025893405287E10,9.50096933791624E9,4.310430167287904E9
0.68,9.030000000000001,2.75,56,9,1,1,0,0,0,0,0,9.03E9,2.75E9,5.6E10,9.0E9,4.096947339840339E10,2.692344266246666E10,7.171717695263054E9
0.61,8.620000000000001,4.17,89,37,1,1,0,0,0,0,0,8.62E9,4.17E9,8.9E10,3.7E10,5.765146417715177E10,2.6269655042018524E10,1.2800881339716663E10
0.64,6.170000000000001,3.06,107,29.000000000000004,1,1,0,0,0,0,0,6.17E9,3.06E9,1.07E11,2.9E10,7.070075801373007E10,2.342547478762443E10,1.0199589935670967E10
0.62,6.640000000000001,2.42,138,11,1,1,0,0,0,0,0,6.64E9,2.42E9,1.38E11,1.1E10,8.808264216052701E10,2.437427883190899E10,6.694679635430076E9
0.74,7.250000000000001,3.2,131,39,1,1,0,0,0,0,0,7.25E9,3.2E9,1.31E11,3.9E10,9.882477943849088E10,4.286909295575408E10,1.7822659975267666E10
0.45,9.92,4.930000000000001,85,22,1,1,0,0,0,0,0,9.92E9,4.93E9,8.5E10,2.2E10,4.370557516088108E10,2.0355306496155525E10,8.930963159395855E9
0.62,5.680000000000001,3.7,93,46,1,1,0,0,0,0,0,5.68E9,3.7E9,9.3E10,4.6E10,5.981802920144842E10,1.997043304730031E10,1.0328921083958843E10
0.34,9.96,2.3000000000000003,136,16,1,1,0,0,0,0,0,9.96E9,2.3E9,1.36E11,1.6E10,5.2812503843810356E10,1.7559946634682796E10,7.1485488027385235E9
0.07,9.9,4.61,111,24,1,1,0,0,0,0,0,9.9E9,4.61E9,1.11E11,2.4E10,1.6975628522712072E10,1.0966908343729795E10,5.428291948144981E9
0.37,5.96,1.55,124.00000000000001,10,1,1,0,0,0,0,0,5.96E9,1550000000,1.24E11,1.0E10,4.963425079118972E10,1.1514997535986944E10,4.474213003990942E9
0.12,7.11,4.48,69,45,1,1,0,0,0,0,0,7.11E9,4.48E9,6.9E10,4.5E10,1.4535392023872993E10,8.460968609241265E9,4.366721730523809E9
0.62,5.36,2.48,102,44,1,1,0,0,0,0,0,5.36E9,2.48E9,1.02E11,4.4E10,6.527638962323207E10,1.942400502014338E10,9.776541772923815E9
0.54,8.81,3.31,106,36,1,1,0,0,0,0,0,8.81E9,3.31E9,1.06E11,3.6E10,6.12922405416922E10,2.3356883139101833E10,1.1028620296134848E10
0.45,9.17,4.57,50,10,1,1,0,0,0,0,0,9.17E9,4.57E9,5.0E10,1.0E10,2.7543268964897465E10,1.7082488675158691E10,6.428218546662544E9
0.24,6.94,4.800000000000001,94,37,1,1,0,0,0,0,0,6.94E9,4.8E9,9.4E10,3.7E10,2.7833865577792862E10,1.0187495667840622E10,5.194341364362956E9
0.75,7.37,2.31,53,28,1,1,0,0,0,0,0,7.37E9,2.31E9,5.3E10,2.8E10,4.1592422668360306E10,2.873546866784885E10,1.5484694801731043E10
0.15,8.05,3.8600000000000003,84,13,1,1,0,0,0,0,0,8.050000000000001E9,3.86E9,8.4E10,1.3E10,1.9441801368266113E10,1.0057824351754393E10,4.716396670056983E9
0.48,8.5,2.37,61.00000000000001,17,1,1,0,0,0,0,0,8.5E9,2.37E9,6.1E10,1.7E10,3.369968312561047E10,1.779916586118076E10,7.716865284693166E9
